customer_id,arm,p_churn,risk_vs_base,cltv,monthly_charges,tenure_months,offer_id,offer_name,cost,delta_prior,ev,min_ev_floor,lever_summary,levers,considered,vetoed,status,catalog_version,actual_churn
4190-MFLUW,treatment,0.3121,above,5925.0,55.2,10,OFF-CONTRACT-2Y,2-year contract at 15% off,99.36,0.18,233.49,20.0,No online security add-on; Rolling month-to-month contract; Under 12 months tenure,NO_ONLINE_SECURITY|MONTH_TO_MONTH|NEW_CUSTOMER,OFF-CONTRACT-2Y:233|OFF-CONTRACT-1Y:156|OFF-SEC-12:32,,recommended,3,1
6047-YHPVI,treatment,0.4054,above,2454.0,69.7,5,OFF-CONTRACT-1Y,1-year contract at 10% off,83.64,0.12,35.74,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-1Y:36|OFF-TECHSUP-12:19|OFF-BUNDLE-ALL:19|OFF-SEC-12:-10|OFF-AUTOPAY:-20,,recommended,3,1
5380-WJKOV,treatment,0.169,below,2941.0,106.35,34,,,0.0,0.0,0.0,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-TECHSUP-12:-21|OFF-SEC-12:-35|OFF-AUTOPAY:-40|OFF-BUNDLE-ALL:-51|OFF-CONTRACT-1Y:-68|OFF-CONTRACT-2Y:-102,OFF-TECHSUP-12:R3_POSITIVE_EV|OFF-SEC-12:R3_POSITIVE_EV|OFF-AUTOPAY:R3_POSITIVE_EV|OFF-BUNDLE-ALL:R3_POSITIVE_EV|OFF-CONTRACT-1Y:R3_POSITIVE_EV|OFF-CONTRACT-2Y:R3_POSITIVE_EV,no_action_needed,3,1
9420-LOJKX,treatment,0.4274,above,2966.0,99.1,15,OFF-CONTRACT-2Y,2-year contract at 15% off,178.38,0.18,49.8,20.0,No tech support add-on; No device protection; Rolling month-to-month contract; Premium fiber plan,NO_TECH_SUPPORT|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|FIBER_PREMIUM,OFF-CONTRACT-2Y:50|OFF-TECHSUP-12:41|OFF-CONTRACT-1Y:33,,recommended,3,1
7495-OOKFY,treatment,0.2802,above,5302.0,80.65,8,OFF-CONTRACT-2Y,2-year contract at 15% off,145.17,0.18,122.24,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:122|OFF-BUNDLE-ALL:87|OFF-CONTRACT-1Y:81|OFF-TECHSUP-12:58|OFF-SEC-12:14,,recommended,3,1
5698-BQJOH,treatment,0.4753,above,5571.0,94.4,9,OFF-CONTRACT-2Y,2-year contract at 15% off,169.92,0.18,306.7,20.0,"No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; High bill, few add-ons; Under 12 months tenure; Premium fiber plan",NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,OFF-CONTRACT-2Y:307|OFF-BUNDLE-ALL:250|OFF-CONTRACT-1Y:204|OFF-TECHSUP-12:151|OFF-SEC-12:72|OFF-AUTOPAY:46,,recommended,3,1
0486-HECZI,treatment,0.0579,below,5154.0,96.75,55,,,0.0,0.0,0.0,20.0,No tech support add-on; No device protection; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-TECHSUP-12:-36|OFF-AUTOPAY:-48|OFF-CONTRACT-1Y:-80|OFF-CONTRACT-2Y:-120,OFF-TECHSUP-12:R3_POSITIVE_EV|OFF-AUTOPAY:R3_POSITIVE_EV|OFF-CONTRACT-1Y:R3_POSITIVE_EV|OFF-CONTRACT-2Y:R3_POSITIVE_EV,no_action_needed,3,1
4846-WHAFZ,treatment,0.0872,below,2793.0,76.5,37,,,0.0,0.0,0.0,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-TECHSUP-12:-41|OFF-SEC-12:-48|OFF-AUTOPAY:-50|OFF-CONTRACT-1Y:-63|OFF-BUNDLE-ALL:-86|OFF-CONTRACT-2Y:-94,OFF-TECHSUP-12:R3_POSITIVE_EV|OFF-SEC-12:R3_POSITIVE_EV|OFF-AUTOPAY:R3_POSITIVE_EV|OFF-CONTRACT-1Y:R3_POSITIVE_EV|OFF-BUNDLE-ALL:R3_POSITIVE_EV|OFF-CONTRACT-2Y:R3_POSITIVE_EV,no_action_needed,3,1
4412-YLTKF,treatment,0.1704,below,4638.0,78.05,27,,,0.0,0.0,0.0,20.0,No tech support add-on; No online security add-on; Rolling month-to-month contract; Manual payment method; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|MONTH_TO_MONTH|MANUAL_PAYMENT|FIBER_PREMIUM,OFF-TECHSUP-12:3|OFF-CONTRACT-2Y:2|OFF-CONTRACT-1Y:1|OFF-BUNDLE-ALL:-10|OFF-SEC-12:-21|OFF-AUTOPAY:-28,OFF-TECHSUP-12:R3_POSITIVE_EV|OFF-CONTRACT-2Y:R3_POSITIVE_EV|OFF-CONTRACT-1Y:R3_POSITIVE_EV|OFF-BUNDLE-ALL:R3_POSITIVE_EV|OFF-SEC-12:R3_POSITIVE_EV|OFF-AUTOPAY:R3_POSITIVE_EV,no_action_needed,3,1
0390-DCFDQ,treatment,0.5106,above,3964.0,70.45,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,162.85,20.0,No tech support add-on; No online security add-on; No device protection; Rolling month-to-month contract; Manual payment method; Under 12 months tenure; Premium fiber plan,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|NEW_CUSTOMER|FIBER_PREMIUM,OFF-BUNDLE-ALL:163|OFF-CONTRACT-1Y:158|OFF-TECHSUP-12:102|OFF-SEC-12:41|OFF-AUTOPAY:21,,recommended,3,1
