customer_id,arm,p_churn,risk_vs_base,cltv,monthly_charges,tenure_months,offer_id,offer_name,cost,delta_prior,ev,min_ev_floor,lever_summary,levers,considered,vetoed,status,catalog_version,actual_churn
TEST-PROD-001,treatment,0.7277,above,5900.0,95.5,2,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,480.57,20.0,,,,,recommended,3.0,0.0
TEST-PROD-002,treatment,0.99,above,6200.0,104.2,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,738.81,20.0,,,,,recommended,3.0,0.0
NEW-CORP-9001,treatment,0.929,above,6200.0,105.5,2,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,685.86,20.0,,,,,recommended,3.0,0.0
NEW-CORP-9002,treatment,0.9655,above,5800.0,98.2,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,663.48,20.0,,,,,recommended,3.0,0.0
NEW-CORP-9003,treatment,0.01,below,4500.0,55.0,65,,,0.0,0.0,0.0,20.0,,,,,no_action_needed,3.0,0.0
NEW-CORP-9004,treatment,0.821,above,5400.0,89.9,3,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,500.17,20.0,,,,,recommended,3.0,0.0
NEW-CORP-9005,treatment,0.9719,above,5100.0,94.5,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,573.43,20.0,,,,,recommended,3.0,0.0
TEST-PROD-101,treatment,0.7277,above,5900.0,95.5,2,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,480.57,20.0,,,,,recommended,3.0,0.0
TEST-PROD-102,treatment,0.99,above,6200.0,104.2,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,738.81,20.0,,,,,recommended,3.0,0.0
TEST-PROD-103,treatment,0.01,below,5000.0,45.0,48,,,0.0,0.0,0.0,20.0,,,,,no_action_needed,3.0,0.0
TEST-TOP-RANK-999,treatment,0.7105,above,6500.0,115.0,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,526.05,20.0,,,,,recommended,3.0,0.0
TEST-LOW-RISK-777,treatment,0.0102,below,5000.0,55.0,65,,,0.0,0.0,0.0,20.0,,,,,no_action_needed,3.0,0.0
TEST-NO-PROFIT-555,treatment,0.1807,below,500.0,20.0,2,,,0.0,0.0,0.0,20.0,,,,,no_action_needed,3.0,0.0
TEST-ELIG-001,treatment,0.7097,above,6000.0,111.0,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,475.64,20.0,NO_TECH_SUPPORT; NO_ONLINE_SECURITY; NO_DEVICE_PROTECTION; MONTH_TO_MONTH; MANUAL_PAYMENT; HIGH_CHARGE_LOW_BUNDLE; NEW_CUSTOMER; FIBER_PREMIUM,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,,,recommended,3.0,0.0
TEST-ELIG-002,treatment,0.7132,above,6000.0,112.0,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,478.58,20.0,NO_TECH_SUPPORT; NO_ONLINE_SECURITY; NO_DEVICE_PROTECTION; MONTH_TO_MONTH; MANUAL_PAYMENT; HIGH_CHARGE_LOW_BUNDLE; NEW_CUSTOMER; FIBER_PREMIUM,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,,,recommended,3.0,0.0
TEST-ELIG-003,treatment,0.7132,above,6000.0,113.0,1,OFF-BUNDLE-ALL,"Tech Support + Online Security bundle, 12 months",120.51,0.14,478.58,20.0,NO_TECH_SUPPORT; NO_ONLINE_SECURITY; NO_DEVICE_PROTECTION; MONTH_TO_MONTH; MANUAL_PAYMENT; HIGH_CHARGE_LOW_BUNDLE; NEW_CUSTOMER; FIBER_PREMIUM,NO_TECH_SUPPORT|NO_ONLINE_SECURITY|NO_DEVICE_PROTECTION|MONTH_TO_MONTH|MANUAL_PAYMENT|HIGH_CHARGE_LOW_BUNDLE|NEW_CUSTOMER|FIBER_PREMIUM,,,recommended,3.0,0.0
